Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Desulfovibrio	paquesii	SB1T 	Desulfovibrio paquesii	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Staphylococcus	simiae	CCM 7213T	Staphylococcus simiae	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Herminiimonas	arsenicoxydans	ULPAs1	Herminiimonas arsenicoxydans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Agromyces	subbeticus	Z33T	Agromyces subbeticus	yes	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Erythrobacter	luteolus	SW-109T	Erythrobacter luteolus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paenibacillus	motobuensis	MC10T	Paenibacillus motobuensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Proteiniphilum	acetatigenes	TB107T	Proteiniphilum acetatigenes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Roseivivax 	Roseivivax lentus	S5-5	Roseivivax lentus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Streptomyces	bangladeshensis	AAB-4T	Streptomyces bangladeshensis	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Paenibacillus	rhizosphaerae	CECAP06T	Paenibacillus rhizosphaerae	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Burkholderia	mimosarum	PAS44	Burkholderia mimosarum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Roseivirga	echinicomitans	KMM 6058T	Roseivirga echinicomitans	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Caldalkalibacillus	thermarum	HA6	Caldalkalibacillus thermarum	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA
Gramella	marina	KMM 6048	Gramella marina	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Lentibacillus	salis	BH113	Lentibacillus salis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Labrys	methylaminiphilus	JLW10T	Labrys methylaminiphilus	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Sphingomonas	kaistensis	PB56T	Sphingomonas kaistensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pseudoalteromonas	spongiae	UST010723-006T	Pseudoalteromonas spongiae	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Olleya	Olleya aquimaris	L-4	Olleya aquimaris	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Maribacter	arcticus	KOPRI 20941	Maribacter arcticus	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Burkholderia	sabiae	Br3407	Burkholderia sabiae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Burkholderia	nodosa	Br3437T	Burkholderia nodosa	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Ochrobactrum	cytisi	ESC1T	Ochrobactrum cytisi	NA	yes	NA	NA	NA	yes	NA	NA	yes	NA	yes	yes	NA	NA	NA
Giesbergeria	voronezhensis	D-419	Giesbergeria voronezhensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Giesbergeria	kuznetsovii	D-412	Giesbergeria kuznetsovii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Photobacterium	aplysiae	GMD509T	Photobacterium aplysiae	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Phyllobacterium	brassicacearum	STM 196	Phyllobacterium brassicacearum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes
Phyllobacterium	bourgognense	STM 201	Phyllobacterium bourgognense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Vibrio	casei	WS 4539	Vibrio casei	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Phyllobacterium	leguminum	ORS 1419	Phyllobacterium leguminum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes
Phyllobacterium	ifriqiyense	STM 370	Phyllobacterium ifriqiyense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes
Phyllobacterium	trifolii	PETP02T	Phyllobacterium trifolii	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Pseudomonas	panacis	CG20106T	Pseudomonas panacis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Isoptericola	halotolerans	YIM 70177T	Isoptericola halotolerans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Marinococcus	halotolerans	YIM 70157T	Marinococcus halotolerans	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Exiguobacterium	profundum	10CT	Exiguobacterium profundum	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Nesterenkonia	halophila	YIM 70179	Nesterenkonia halophila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Massilia	jejuensis	5317J-18	Massilia jejuensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Virgibacillus	dokdonensis	DSW-10T	Virgibacillus dokdonensis	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Aeromicrobium	alkaliterrae	KSL-107T	Aeromicrobium alkaliterrae	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA
Streptomyces	cheonanensis	VC-A46	Streptomyces cheonanensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methylothermus	thermalis	MYHTT	Methylothermus thermalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA
Acetobacter	oeni	B13	Acetobacter oeni	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Quadrisphaera	granulorum	AG019T	Quadrisphaera granulorum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Algoiphagus	locisalis	MSS-170T	Algoiphagus locisalis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardioides	kribbensis	KSL-2T	Nocardioides kribbensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Dactylosporangium	luteum	BK51	Dactylosporangium luteum	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Thorsellia	anophelis	CCUG 49520	Thorsellia anophelis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haloferax	larsenii	ZJ206T	Haloferax larsenii	NA	NA	NA	NA	NA	yes	NA	yes	yes	NA	yes	yes	NA	NA	NA
Paenibacillus	harenae	B519T	Paenibacillus harenae	yes	yes	NA	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Marinimicrobium	koreense	M9	Marinimicrobium koreense	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marinimicrobium	agarilyticum	M18	Marinimicrobium agarilyticum	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Prevotella 	baroniae	E9.33T	Prevotella baroniae	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Psychrobacter	celer	 SW-238T	Psychrobacter celer	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paenibacillus	woosongensis	YB-45	Paenibacillus woosongensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Winogradskyella	poriferorum	UST030701-295T	Winogradskyella poriferorum	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Dialister	succinatiphilus	YIT 11850	Dialister succinatiphilus	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amorphus	orientalis	YIM D10	Amorphus orientalis	yes	NA	yes	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Ureibacillus	suwonensis	6T19	Ureibacillus suwonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Leadbetterella	byssophila	4M15T	Leadbetterella byssophila	yes	yes	yes	yes	NA	yes	NA	NA	yes	NA	NA	yes	NA	NA	NA
Halomonas	almerie	M8T	Halomonas almerie	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium	lundense	R1	Clostridium lundense	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
Deinococcus	deserti	VCD115T	Deinococcus deserti	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptomyces	yanglinensis	1307	Streptomyces yanglinensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptomyces	rubidus	13c15	Streptomyces rubidus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptomyces	paucisporeus	1413	Streptomyces paucisporeus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fervidobacterium	changbaicum	CBS-1T	Fervidobacterium changbaicum	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Denitratisoma 	oestradiolicum	AcBE2-1	Denitratisoma oestradiolicum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Tetrathiobacter 	mimigardefordensis	DPN7	Tetrathiobacter mimigardefordensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Halobacillus	yeomjeoni	MSS-402T	Halobacillus yeomjeoni	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	senegalensis	 CWBI-B418T	Acetobacter senegalensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chryseobacterium	soldanellicola	PSD1-4	Chryseobacterium soldanellicola	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Chryseobacterium	taeanense	PHA3-4	Chryseobacterium taeanense	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Gaetbulibacter	saemankumensis	SMK-12T	Gaetbulibacter saemankumensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Paenibacillus	assamensis	GPTSA11T	Paenibacillus assamensis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Cellulomonas	terrae	DB5T	Cellulomonas terrae	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Alicyclobacillus	aeris	ZJ-6T	Alicyclobacillus aeris	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Dyella	koreensis	BB4T	Dyella koreensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Dermacoccus	abyssi	MT1.1	Dermacoccus abyssi	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomonas	yunnanensis	YIM003T	Sphingomonas yunnanensis	NA	yes	NA	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Sandarakinorhabdus	limnophila	so42	Sandarakinorhabdus limnophila	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium	ganghwense	HY-42-06	Clostridium ganghwense	NA	yes	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA
Emticicia	oligotrophica	GPTSA100-15	Emticicia oligotrophica	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	yes
Jannaschia	seosinensis	CL-SP26	Jannaschia seosinensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Maribius	salinus	CL-SP27T	Maribius salinus	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Prolixibacter	bellariivorans	F2T	Prolixibacter bellariivorans	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
Alteromonas	hispanica	F-32T	Alteromonas hispanica	NA	yes	yes	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Palleronia	marisminoris	B33T	Palleronia marisminoris	yes	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA
Pseudoxanthomonas 	suwonensis	4M1	Pseudoxanthomonas suwonensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardioides	dubius	KSL-104T	Nocardioides dubius	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	lehensis	MLB2T	Bacillus lehensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Thermaerobacter	litoralis	KW1	Thermaerobacter litoralis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Mycobacterium	rufum	JS14T	Mycobacterium rufum	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Mycobacterium	aromaticivorans	JS19b1T	Mycobacterium aromaticivorans	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enterococcus	caccae	2215-02	Enterococcus caccae	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terrabacter	terrae	PPLBT	Terrabacter terrae	NA	NA	NA	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Actinomadura	scrupuli	R-Ac121	Actinomadura scrupuli	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Pseudomonas	otitidis	MCC10330	Pseudomonas otitidis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pediococcus	cellicola	Z-8T	Pediococcus cellicola	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prevotella	nanceiensis	LBN 293T	Prevotella nanceiensis	NA	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paenibacillus	alkaliterrae	KSL-134T	Paenibacillus alkaliterrae	NA	yes	NA	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Maribacter	dokdonensis	DSW-8T	Maribacter dokdonensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Photobacterium	ganghwense	FR1311	Photobacterium ganghwense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cyclobacterium	amurskyense	KMM6143T	Cyclobacterium amurskyense	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Desulfotomaculum	carboxydivorans	CO-1-SRBT	Desulfotomaculum carboxydivorans	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Shimia	marina	CL-TA03	Shimia marina	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Lutibacter	litoralis	CL-TF09	Lutibacter litoralis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Moraxella	porci	SN9-4M	Moraxella porci	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Tenacibacterium	litoreum	CL-TF13	Tenacibacterium litoreum	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Microbacterium	koreense	JS53-2	Microbacterium koreense	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nocardia	jejuensis	N3-2	Nocardia jejuensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Burkholderia	silvatlantica	SRMrh-20	Burkholderia silvatlantica	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Massilia	dura	16	Massilia dura	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Massilia	albidiflava	45	Massilia albidiflava	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Massilia	plicata	76	Massilia plicata	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Massilia	lutea	101	Massilia lutea	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Actinocorallia	cavernae	N3-7	Actinocorallia cavernae	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brevundimonas	kwangchunensis	KSL-102	Brevundimonas kwangchunensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pseudofulvimonas 	gallinarii	Sa15	Pseudofulvimonas gallinarii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Dietzia	kunjamensis	K30-10	Dietzia kunjamensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alistipes	onderdonkii	WAL 8169	Alistipes onderdonkii	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
Alistipes	shahii	WAL 8301	Alistipes shahii	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
Nonlabens	tegetincola	UST030701-324T	Nonlabens tegetincola	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Gaetbulimicrobium 	brevivitae	SMK-19	Gaetbulimicrobium brevivitae	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dokdonella	koreensis	DS-123	Dokdonella koreensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kocuria	himachalensis	K07-05	Kocuria himachalensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kribbella	karoonensis	Q41	Kribbella karoonensis	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA
Kribbella	swartbergensis	HMC25	Kribbella swartbergensis	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA
Shinella	granuli	Ch06	Shinella granuli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Paenochrobactrum	gallinarii	Sa25	Paenochrobactrum gallinarii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Streptosporangium	canum	HBUM 170018T	Streptosporangium canum	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes
Bacillus	niabensis	4T19T	Bacillus niabensis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	yes
Psychromonas	aquimarina	JAMM 0404	Psychromonas aquimarina	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA
Psychromonas	macrocephali	JAMM 0415	Psychromonas macrocephali	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA
Burkholderia	acidipaludis	SA33	Burkholderia acidipaludis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Magnetococcus	marinus	MC-1	Magnetococcus marinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cecembia	lonarensis	LW9	Cecembia lonarensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methylophaga	frappieri	JAM7	Methylophaga frappieri	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Methylophaga	nitratireducenticrescens	JAM1	Methylophaga nitratireducenticrescens	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Amycolatopsis	jejuensis	N7-3	Amycolatopsis jejuensis	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	yes
Psychroserpens	mesophilus	KOPRI 13649	Psychroserpens mesophilus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Gramella	portivictoriae	UST040801-001T	Gramella portivictoriae	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Dokdonia	donghaensis	DSW-1T	Dokdonia donghaensis	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Polaribacter	dokdonensis	DSW-5	Polaribacter dokdonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Helicobacter	cynogastricus	JKM4	Helicobacter cynogastricus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Neisseria	animaloris	EF-4a	Neisseria animaloris	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Haliea	mediterranea	7SM29	Haliea mediterranea	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Neisseria	zoodegmatis	EF-4b	Neisseria zoodegmatis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Colwellia	polaris	537	Colwellia polaris	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Capnocytophaga	leadbetteri	AHN8855	Capnocytophaga leadbetteri	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Pseudoalteromonas	byunsanensis	FR1199T	Pseudoalteromonas byunsanensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Marinomonas	dokdonesis	DSW10-10T	Marinomonas dokdonesis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Porphyrobacter	dokdonensis	DSW-74	Porphyrobacter dokdonensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Aeromonas	sharmana	GPTSA-6	Aeromonas sharmana	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Deinococcus	caeni	Ho-08	Deinococcus caeni	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aquitalea	magnusonii	TRO-001DR8	Aquitalea magnusonii	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	yes	yes	NA	NA	NA
Salicola	marasensis	7Sm5	Salicola marasensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Chryseobacterium	arthrosphaerae	CC-VM-7	Chryseobacterium arthrosphaerae	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	yes	NA	NA	yes
Flavobacterium	saliperosum	S13	Flavobacterium saliperosum	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Fontibacillus	Fontibacillus aquaticus	GPTSA 19	Fontibacillus aquaticus	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Fontibacillus	aquaticus	GPTSA 19	Fontibacillus aquaticus	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	okhensis	Kh10-101	Bacillus okhensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colwellia	aestuarii	SMK-10	Colwellia aestuarii	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marinobacter	psychrophilus	20041	Marinobacter psychrophilus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Mycetocola	reblochoni	LMG 22367	Mycetocola reblochoni	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptomyces	durmitorensis	MS405T	Streptomyces durmitorensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	yes
Halospina	denitrificans	HGD 1-3	Halospina denitrificans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Sporosarcina	koreensis	F73T	Sporosarcina koreensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Sporosarcina	soli	I80T 	Sporosarcina soli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Amycolatopsis	minnesotensis	32U-2	Amycolatopsis minnesotensis	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA
Actinomadura	hallensis	H647-1	Actinomadura hallensis	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA
Fabibacter	halotolerans	UST030701-097	Fabibacter halotolerans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Camelimonas	lactis	M 2040	Camelimonas lactis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Roseivirga	spongicola	UST030701-084	Roseivirga spongicola	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pseudomonas	xiamenensis	C10-2	Pseudomonas xiamenensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Rhodococcus	qingshengii	djl-6T	Rhodococcus qingshengii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Thiomonas	bhubaneswarensis	S10T	Thiomonas bhubaneswarensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Salinivibrio	proteolyticus	AF-2004	Salinivibrio proteolyticus	NA	NA	NA	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Pedobacter	koreensis	WPCB189T	Pedobacter koreensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Goodfellowia	coeruleoviolacea	NRRL B-24058	Goodfellowia coeruleoviolacea	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Polaromonas	hydrogenivorans	DSM 17735T	Polaromonas hydrogenivorans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
