Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Zimmermannella	helvola	 IAM 14726T	Zimmermannella helvola	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pseudoclavibacter	helvolus	DSM 20419T	Pseudoclavibacter helvolus	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	oleronius	LMG 17952	Bacillus oleronius	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Thermobacillus	composti	KWC4T	Thermobacillus composti	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cellulomonas	bogoriensis	69B4T	Cellulomonas bogoriensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomonas	haloaromaticamans	A175T	Sphingomonas haloaromaticamans	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paenibacillus	elgii	SD17T	Paenibacillus elgii	NA	yes	NA	NA	NA	yes	NA	NA	yes	NA	yes	NA	NA	NA	NA
Ornithinibacillus	bavariensis	WSBC24001	Ornithinibacillus bavariensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Mycobacterium	nebraskense	UNMC-MY1349T	Mycobacterium nebraskense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspromonas	composti	TR7-09 T	Aspromonas composti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes
Galbibacter	mesophilus	Mok-17T	Galbibacter mesophilus	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Mycobacterium	cosmeticum	LTA-388T	Mycobacterium cosmeticum	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Gilvibacter	sediminis	Mok-1-36T	Gilvibacter sediminis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Sediminibacter	furfurosus	MAOS-86T	Sediminibacter furfurosus	NA	NA	NA	NA	NA	yes	yes	NA	yes	NA	NA	yes	NA	NA	NA
Sediminitomix 	flava	Mok-1-85T 	Sediminitomix flava	yes	yes	yes	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Ruegeria	mobilis	MBIC01146T	Ruegeria mobilis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Salinicoccus	siamensis	PN1-2T	Salinicoccus siamensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sphingomonas	sediminicola	Dae 20	Sphingomonas sediminicola	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Streptococcus	dentirousetti	NUM 1303	Streptococcus dentirousetti	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
